lane,label,source_type,url,download_path,retrieved_on,download_status,repo_head,content_type
r,R odbc docs,candidate_docs,https://odbc.r-dbi.org/,docs/reference/best_in_class_driver_research_2026-04-03/r/downloads/04_R_odbc_docs.html,2026-04-03,downloaded,,text/html
ruby,ruby-pg repo,selected_repo,https://github.com/ged/ruby-pg,docs/reference/best_in_class_driver_research_2026-04-03/ruby/downloads/01_ruby-pg_repo.html,2026-04-03,downloaded,refs/heads/master 61f9b37fc02e5f36565737d25c415c1f26dfad68,text/html
ruby,mysql2 repo,candidate_repo,https://github.com/brianmario/mysql2,docs/reference/best_in_class_driver_research_2026-04-03/ruby/downloads/02_mysql2_repo.html,2026-04-03,downloaded,refs/heads/master b009d7e114729cbae5bef069a1033dd78acf7745,text/html
ruby,tiny_tds repo,candidate_repo,https://github.com/rails-sqlserver/tiny_tds,docs/reference/best_in_class_driver_research_2026-04-03/ruby/downloads/03_tiny_tds_repo.html,2026-04-03,downloaded,refs/heads/master 1071d812b0e234a9d89628ba9da63dcd626e4f1b,text/html
rust,tokio-postgres docs,selected_docs,https://docs.rs/tokio-postgres/latest/tokio_postgres/,docs/reference/best_in_class_driver_research_2026-04-03/rust/downloads/01_tokio-postgres_docs.html,2026-04-03,downloaded,,text/html
rust,rust-postgres repo,selected_repo,https://github.com/sfackler/rust-postgres,docs/reference/best_in_class_driver_research_2026-04-03/rust/downloads/02_rust-postgres_repo.html,2026-04-03,downloaded,refs/heads/master 6e6a627832313cbd92bbf383c74dac1cd7064cb0,text/html
rust,sqlx docs,candidate_docs,https://docs.rs/sqlx/latest/sqlx/,docs/reference/best_in_class_driver_research_2026-04-03/rust/downloads/03_sqlx_docs.html,2026-04-03,downloaded,,text/html
rust,mysql_async docs,candidate_docs,https://docs.rs/mysql_async/latest/mysql_async/,docs/reference/best_in_class_driver_research_2026-04-03/rust/downloads/04_mysql_async_docs.html,2026-04-03,downloaded,,text/html
sqlalchemy,SQLAlchemy PostgreSQL dialect docs,selected_docs,https://docs.sqlalchemy.org/en/20/dialects/postgresql.html,docs/reference/best_in_class_driver_research_2026-04-03/sqlalchemy/downloads/01_SQLAlchemy_PostgreSQL_dialect_docs.html,2026-04-03,downloaded,,text/html
sqlalchemy,SQLAlchemy repo,selected_repo,https://github.com/sqlalchemy/sqlalchemy,docs/reference/best_in_class_driver_research_2026-04-03/sqlalchemy/downloads/02_SQLAlchemy_repo.html,2026-04-03,downloaded,refs/heads/main d3a85fbd07fbd88e5872df39290db050c0a6f0a9,text/html
sqlalchemy,SQLAlchemy MySQL dialect docs,candidate_docs,https://docs.sqlalchemy.org/en/20/dialects/mysql.html,docs/reference/best_in_class_driver_research_2026-04-03/sqlalchemy/downloads/03_SQLAlchemy_MySQL_dialect_docs.html,2026-04-03,downloaded,,text/html
sqlalchemy,SQLAlchemy MSSQL dialect docs,candidate_docs,https://docs.sqlalchemy.org/en/20/dialects/mssql.html,docs/reference/best_in_class_driver_research_2026-04-03/sqlalchemy/downloads/04_SQLAlchemy_MSSQL_dialect_docs.html,2026-04-03,downloaded,,text/html
superset,Superset DB engine specs,selected_docs,https://github.com/apache/superset/tree/master/superset/db_engine_specs,docs/reference/best_in_class_driver_research_2026-04-03/superset/downloads/01_Superset_DB_engine_specs.html,2026-04-03,downloaded,,text/html
superset,Superset repo,selected_repo,https://github.com/apache/superset,docs/reference/best_in_class_driver_research_2026-04-03/superset/downloads/02_Superset_repo.html,2026-04-03,downloaded,refs/heads/master d796543f5a0c5f6306f3140d48647640b7a28a14,text/html
superset,Superset repo,candidate_repo,https://github.com/apache/superset,docs/reference/best_in_class_driver_research_2026-04-03/superset/downloads/03_Superset_repo.html,2026-04-03,downloaded,refs/heads/master d796543f5a0c5f6306f3140d48647640b7a28a14,text/html
swift,PostgresNIO repo,selected_repo,https://github.com/vapor/postgres-nio,docs/reference/best_in_class_driver_research_2026-04-03/swift/downloads/01_PostgresNIO_repo.html,2026-04-03,downloaded,refs/heads/main f294b6205defeb23dc04c4e094b04f0de5784d4b,text/html
swift,PostgresKit repo,candidate_repo,https://github.com/vapor/postgres-kit,docs/reference/best_in_class_driver_research_2026-04-03/swift/downloads/02_PostgresKit_repo.html,2026-04-03,downloaded,refs/heads/main 7c079553e9cda74811e627775bf22e40a9405ad9,text/html
swift,MySQLNIO repo,candidate_repo,https://github.com/vapor/mysql-nio,docs/reference/best_in_class_driver_research_2026-04-03/swift/downloads/03_MySQLNIO_repo.html,2026-04-03,downloaded,refs/heads/main 7fa853040169b604a16b963f23b481772f4ac181,text/html
typeorm,TypeORM PostgreSQL docs,selected_docs,https://typeorm.io/docs/drivers/postgres/,docs/reference/best_in_class_driver_research_2026-04-03/typeorm/downloads/01_TypeORM_PostgreSQL_docs.html,2026-04-03,downloaded,,text/html
typeorm,TypeORM repo,selected_repo,https://github.com/typeorm/typeorm,docs/reference/best_in_class_driver_research_2026-04-03/typeorm/downloads/02_TypeORM_repo.html,2026-04-03,downloaded,refs/heads/master e8b7f50a260f77107c8e107507479876a84beaaa,text/html
typeorm,TypeORM MySQL docs,candidate_docs,https://typeorm.io/docs/drivers/mysql/,docs/reference/best_in_class_driver_research_2026-04-03/typeorm/downloads/03_TypeORM_MySQL_docs.html,2026-04-03,downloaded,,text/html
typeorm,TypeORM SQL Server docs,candidate_docs,https://typeorm.io/docs/drivers/microsoft-sqlserver/,docs/reference/best_in_class_driver_research_2026-04-03/typeorm/downloads/04_TypeORM_SQL_Server_docs.html,2026-04-03,downloaded,,text/html
